experiment,num of users,trace length,max location in trace,max location allowed,Clusters,GLRP,MP,ALRP,VF,User,fake trace num,Generic Util,Seed distance,Trace distance,Surge factor,Seed STD,Fake STD
sltg_exp1,20,40,40,40,39,1,00,00,4,1,0,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,1,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,2,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,3,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,4,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,5,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,6,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,1,7,0.0,21712,21712,3.55,1.2599603168354152,1.2599603168354152
sltg_exp1,20,40,40,40,39,1,00,00,4,2,0,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,1,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,2,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,3,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,4,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,5,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,6,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
sltg_exp1,20,40,40,40,39,1,00,00,4,2,7,0.0,55904,55904,7.0,11.543396380615196,11.543396380615196
